codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
29,45522,PPHOR,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PAUL,PISTÃO,MONOMOTOR,660,660,2.0,1962.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,INSTRUÇÃO,SUBSTANCIAL,0
30,45523,PTICG,,AVIÃO,PIPER AIRCRAFT,PA-28R-200,P28R,PISTÃO,MONOMOTOR,1179,1179,4.0,1972.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,PRIVADA,SUBSTANCIAL,0
31,45524,PPGKQ,,AVIÃO,PIPER AIRCRAFT,PA-18,PA18,PISTÃO,MONOMOTOR,680,680,2.0,1950.0,AVIÃO,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0
32,45525,PTWQY,AGRÍCOLA,AVIÃO,AIR TRACTOR,AT-401B,AT3P,PISTÃO,MONOMOTOR,2722,2722,1.0,1999.0,AVIÃO,AGRÍCOLA,FILIAL CAMPO FLORIDO,FILIAL CAMPO FLORIDO,CRUZEIRO,AGRÍCOLA,SUBSTANCIAL,0
33,45526,PRSTO,,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1814,1814,1.0,1972.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,DESTRUÍDA,1
34,45527,PTXAB,,AVIÃO,PIPER AIRCRAFT,PA-25-235,PA25,PISTÃO,MONOMOTOR,1315,1315,1.0,1975.0,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0
35,45528,PTOFD,,AVIÃO,BEECH AIRCRAFT,F90,BE9T,TURBOÉLICE,BIMOTOR,4967,4967,8.0,1981.0,AVIÃO,PARTICULAR,CONGONHAS,VAL DE CANS / JÚLIO CEZAR RIBEIRO,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0
36,45564,PTUUJ,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2007.0,AVIÃO,PARTICULAR,FAZENDA SONORA ESTÂNCIA,FAZENDA SONORA ESTÂNCIA,VOO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0
37,45569,PTBHY,,AVIÃO,CESSNA AIRCRAFT,180C,C180,PISTÃO,MONOMOTOR,1202,1202,4.0,,AVIÃO,PARTICULAR,FORA DE AERODROMO,SÍTIO SANTA HELENA,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
38,45570,PRSRM,,AVIÃO,PIPER AIRCRAFT,PA-25-235,PA25,PISTÃO,MONOMOTOR,1315,1315,1.0,1965.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0
