codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
1941,53079,PRAYK,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2010.0,AVIÃO,REGULAR,MARECHAL CUNHA MACHADO,SENADOR PETRÔNIO PORTELLA,DECOLAGEM,REGULAR,LEVE,0
1942,53080,PPGGG,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1992.0,AVIÃO,INSTRUÇÃO,PEDRO MORGANTI,RIO CLARO,TÁXI,INSTRUÇÃO,NENHUM,0
1943,53081,PTCKW,ESPECIALIZADA,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,2948,4.0,1969.0,AVIÃO,ESPECIALIZADA,PORTO SEGURO,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,TÁXI,ESPECIALIZADA,NENHUM,0
1944,53082,PTIZS,INSTRUÇÃO,AVIÃO,PIPER AIRCRAFT,PA-28-140,P28A,PISTÃO,MONOMOTOR,975,975,2.0,1973.0,AVIÃO,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,MANOBRA,INSTRUÇÃO,LEVE,0
1945,53104,A6EWI,,AVIÃO,BOEING COMPANY,777-21H(LR),B77L,JATO,BIMOTOR,346544,346544,384.0,1983.0,AVIÃO,REGULAR,DUBAI INTERNATIONAL AIRPORT,ANTONIO CARLOS JOBIM / GALEÃO,ESTACIONAMENTO,REGULAR,LEVE,0
1946,53104,PRGUD,,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,193.0,2010.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,REGULAR,LEVE,0
1947,53105,PUAKK,EXPERIMENTAL,ULTRALEVE,JOAO L TEIXEIRA,PARADISE I,ULAC,PISTÃO,MONOMOTOR,720,720,2.0,2008.0,ULTRALEVE,EXPERIMENTAL,FAZENDA PAULISTA,FAZENDA PAULISTA,CRUZEIRO,PRIVADA,NENHUM,0
1948,53106,PTJJM,,AVIÃO,PIPER AIRCRAFT,PA-28-140,P28A,PISTÃO,MONOMOTOR,975,975,2.0,1973.0,AVIÃO,INSTRUÇÃO,AEROCLUBE DE ELDORADO DO SUL,AEROCLUBE DE ELDORADO DO SUL,MANOBRA,INSTRUÇÃO,NENHUM,0
1949,53107,PREFX,,HELICÓPTERO,AGUSTA,AB139,A139,TURBOEIXO,BIMOTOR,6800,6800,17.0,2006.0,HELICÓPTERO,TÁXI AÉREO,GOVERNADOR ANDRÉ FRANCO MONTORO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,LEVE,0
1950,53108,PPFHP,,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1988.0,AVIÃO,INSTRUÇÃO,TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,DECOLAGEM,INSTRUÇÃO,LEVE,0
1951,53109,PTLSS,,AVIÃO,BEECH AIRCRAFT,E55,BE55,PISTÃO,BIMOTOR,2404,2404,6.0,1980.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
1952,53110,PUSRG,EXPERIMENTAL,ULTRALEVE,,P92 ECHO SUPER,ULAC,PISTÃO,MONOMOTOR,550,550,2.0,2008.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
1953,53111,PTGYG,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1985.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
1954,53112,PTVTW,,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2011.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,AGRÍCOLA,SUBSTANCIAL,1
1955,53113,PTRFC,,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1980.0,AVIÃO,PARTICULAR,CATARATAS,CAMPO GRANDE,DESCIDA,PRIVADA,NENHUM,0
1956,53114,PRFLF,,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,1542,4.0,2003.0,AVIÃO,PARTICULAR,COSTA ESMERALDA,LAURO KURTZ,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
1957,53115,PTIXS,,AVIÃO,CESSNA AIRCRAFT,U206F,C206,PISTÃO,MONOMOTOR,1633,1633,6.0,1973.0,AVIÃO,TÁXI AÉREO,CAJÚ,ATLAS BRASIL CANTANHEDE,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0
1958,53116,PTKBV,,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,1338,4.0,1974.0,AVIÃO,PARTICULAR,PARATI,LEITE LOPES,CRUZEIRO,PRIVADA,DESTRUÍDA,4
1959,53117,PPHGB,,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1947.0,AVIÃO,INSTRUÇÃO,ESTADUAL ARTHUR SIQUEIRA,ESTADUAL ARTHUR SIQUEIRA,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
1960,53118,PTYEJ,,HELICÓPTERO,ROBINSON HELICOPTER,R22,R22,PISTÃO,MONOMOTOR,621,621,2.0,1997.0,HELICÓPTERO,INSTRUÇÃO,GOVERNADOR ANDRÉ FRANCO MONTORO,ADALBERTO MENDES DA SILVA,DECOLAGEM VERTICAL,PRIVADA,SUBSTANCIAL,0
1961,53119,PPHBK,,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1946.0,AVIÃO,INSTRUÇÃO,GERALDO GUIAS DE AQUINO,GERALDO GUIAS DE AQUINO,INDETERMINADA,INSTRUÇÃO,DESTRUÍDA,2
1962,53120,PTJAV,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1723,1723,6.0,1973.0,AVIÃO,TÁXI AÉREO,CHAVES,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0
1963,53121,PRAVL,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A318-122,A318,JATO,BIMOTOR,68000,68000,129.0,2007.0,AVIÃO,REGULAR,PROFESSOR URBANO ERNESTO STUMPF,CONGONHAS,DECOLAGEM,REGULAR,NENHUM,0
1964,53122,PROAM,REGULAR,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,44450,107.0,1993.0,AVIÃO,REGULAR,PRESIDENTE JUSCELINO KUBITSCHEK,CAMPO GRANDE,DECOLAGEM,REGULAR,LEVE,0
1965,53123,PRMAO,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,64000,64000,154.0,2002.0,AVIÃO,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,ADALBERTO MENDES DA SILVA,CRUZEIRO,REGULAR,SUBSTANCIAL,0
1966,53124,PRMYO,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2011.0,AVIÃO,REGULAR,CONGONHAS,GOVERNADOR JOSÉ RICHA,SUBIDA,REGULAR,NENHUM,0
1967,53125,PTAUM,ESPECIALIZADA,AVIÃO,CESSNA AIRCRAFT,170B,C170,PISTÃO,MONOMOTOR,998,998,4.0,1955.0,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,ESPECIALIZADA,NENHUM,0
1968,53126,PTRXC,INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1157,4.0,1985.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,PARTIDA DO MOTOR,INSTRUÇÃO,NENHUM,0
1969,53127,PPEOX,ADMINISTRAÇÃO DIRETA,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1999.0,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,JOSÉ ROBERTO MAGALHÃES TEIXEIRA,14 BIS,MANOBRA,POLICIAL,LEVE,0
1970,53128,PRPDI,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,75.0,2012.0,AVIÃO,REGULAR,GOVERNADOR JOSÉ RICHA,TEIXEIRA DE FREITAS,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
1971,53129,PRSAD,PARTICULAR,AVIÃO,EMBRAER,EMB-505,E55P,JATO,BIMOTOR,8340,8340,8.0,2014.0,AVIÃO,PARTICULAR,CAMPO DE MARTE,HERCÍLIO LUZ,CRUZEIRO,NÃO REGULAR,NENHUM,0
1972,53130,PRAYR,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2011.0,AVIÃO,REGULAR,EDUARDO GOMES,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,SUBIDA,REGULAR,NENHUM,0
1973,53131,PPPTQ,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,22500,73.0,2009.0,AVIÃO,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,ADALBERTO MENDES DA SILVA,DECOLAGEM,REGULAR,NENHUM,0
1974,53132,PPDTT,ESPECIALIZADA,AVIÃO,CESSNA AIRCRAFT,170,C170,PISTÃO,MONOMOTOR,998,998,1.0,1948.0,AVIÃO,ESPECIALIZADA,TANCREDO NEVES,SANTOS DUMONT,ESPECIALIZADA,ESPECIALIZADA,NENHUM,0
1975,53133,PRAYJ,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2010.0,AVIÃO,REGULAR,EURICO DE AGUIAR SALLES,EURICO DE AGUIAR SALLES,CRUZEIRO,REGULAR,NENHUM,0
1976,53148,PPGSY,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PISTÃO,MONOMOTOR,660,660,2.0,1960.0,AVIÃO,INSTRUÇÃO,SANTOS DUMONT,SANTOS DUMONT,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
1977,53149,PTJEE,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1973.0,AVIÃO,PARTICULAR,IPIRANGA,TABATINGA,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,0
1978,53150,PUDSJ,EXPERIMENTAL,,,,,,SEM TRAÇÃO,0,0,0.0,,,EXPERIMENTAL,MOJI MIRIM,MOJI MIRIM,DECOLAGEM,EXPERIMENTAL,DESTRUÍDA,1
1979,53151,PTMEA,,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,3969,11.0,1993.0,AVIÃO,TÁXI AÉREO,EDUARDO GOMES,MAUÉS,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
1980,53152,PTYPB,,HELICÓPTERO,ROBINSON HELICOPTER,R22,R22,PISTÃO,MONOMOTOR,621,621,2.0,1995.0,HELICÓPTERO,INSTRUÇÃO,JACAREPAGUÁ,JACAREPAGUÁ,MANOBRA,INSTRUÇÃO,LEVE,0
1981,53153,PTMED,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,3969,11.0,1993.0,AVIÃO,TÁXI AÉREO,REGIONAL HUGO CANTERGIANI,SALGADO FILHO,PROCEDIMENTO DE APROXIMAÇÃO IFR,TÁXI AÉREO,LEVE,0
1982,53154,PTMEO,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,4110,4110,11.0,1994.0,AVIÃO,TÁXI AÉREO,ADALBERTO MENDES DA SILVA,SOROCABA,POUSO,TÁXI AÉREO,LEVE,0
1983,53164,PTJUJ,,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,1338,4.0,1974.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
1984,53165,PTUTS,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2005.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0
1985,53166,PRFSI,,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,3629,3629,1.0,2012.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,AGRÍCOLA,SUBSTANCIAL,0
1986,53167,PRSTE,REGULAR,AVIÃO,EMBRAER,EMB-120ER,E120,TURBOÉLICE,BIMOTOR,11990,11990,34.0,1995.0,AVIÃO,REGULAR,ALTAMIRA,JOÃO CORREA DA ROCHA,ESTACIONAMENTO,REGULAR,NENHUM,0
1987,53168,PTIGQ,PARTICULAR,AVIÃO,BEECH AIRCRAFT,V35B,BE35,PISTÃO,MONOMOTOR,1542,1542,6.0,1973.0,AVIÃO,PARTICULAR,TRÊS MARIAS,MÁRIO RIBEIRO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
1988,53169,PRTKA,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,22500,73.0,2010.0,AVIÃO,REGULAR,ALTAMIRA,VAL DE CANS / JÚLIO CEZAR RIBEIRO,OPERAÇÃO DE SOLO,REGULAR,NENHUM,0
1989,53170,PRGTH,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,79000,79000,194.0,2006.0,AVIÃO,REGULAR,PORTO SEGURO,TANCREDO NEVES,CRUZEIRO,REGULAR,NENHUM,0
1990,53175,PPASV,PARTICULAR,AVIÃO,LEARJET,45 (LEARJET 40),LJ40,JATO,BIMOTOR,9525,9525,9.0,2004.0,AVIÃO,PARTICULAR,GUARARAPES - GILBERTO FREYRE,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,SUBIDA,PRIVADA,LEVE,0
1991,53176,PRBTZ,PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2494,2494,6.0,1991.0,AVIÃO,PARTICULAR,PARÁ DE MINAS,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,DESCIDA,PRIVADA,NENHUM,0
1992,53177,PUJJA,EXPERIMENTAL,ULTRALEVE,,,ULAC,,SEM TRAÇÃO,0,0,0.0,,ULTRALEVE,EXPERIMENTAL,CEARÁ-MIRIM,CEARÁ-MIRIM,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,2
1993,53178,PTUUP,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2007.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,DESTRUÍDA,1
1994,53179,PTVYR,,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2012.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
1995,53180,PTKDZ,,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,1338,5.0,1974.0,AVIÃO,PARTICULAR,ARAGUARI,ARAGUARI,SUBIDA,PRIVADA,SUBSTANCIAL,0
1996,53181,PUMJG,EXPERIMENTAL,ULTRALEVE,,FOX V5,ULAC,PISTÃO,MONOMOTOR,417,417,2.0,1998.0,ULTRALEVE,EXPERIMENTAL,COLIDER,COLIDER,MANOBRA,PRIVADA,SUBSTANCIAL,0
1997,53182,PTGZV,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1984.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,1
1998,53183,ZPBLY,,AVIÃO,PIPER AIRCRAFT,PA-32R-301,PA32,TURBOÉLICE,MONOMOTOR,1633,1633,,1983.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
1999,53184,PUAEP,EXPERIMENTAL,ULTRALEVE,AEROBRAVO LTDA,BRAVO 700,ULAC,PISTÃO,MONOMOTOR,500,500,0.0,,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,PRIVADA,SUBSTANCIAL,0
2000,53185,PRAXG,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,52290,125.0,2012.0,AVIÃO,REGULAR,TANCREDO NEVES,AFONSO PENA,OPERAÇÃO DE SOLO,REGULAR,NENHUM,0
2001,53186,PRAVL,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A318-122,A318,JATO,BIMOTOR,68000,68000,129.0,2007.0,AVIÃO,REGULAR,CONGONHAS,PRESIDENTE JUSCELINO KUBITSCHEK,CRUZEIRO,REGULAR,LEVE,0
2002,53187,PTLBL,PARTICULAR,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,4750,6.0,2011.0,AVIÃO,PARTICULAR,LEITE LOPES,LAURO CARNEIRO DE LOYOLA,POUSO,PRIVADA,NENHUM,0
2003,53188,PRMFA,PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,2449,6.0,1995.0,AVIÃO,PARTICULAR,FAZENDA BOM JARDIM,JACAREPAGUÁ,POUSO,PRIVADA,LEVE,0
2004,53189,PRGTM,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,TURBOEIXO,BIMOTOR,70533,70533,187.0,2007.0,AVIÃO,REGULAR,TANCREDO NEVES,CONGONHAS,DECOLAGEM,REGULAR,NENHUM,0
2005,53190,PRTKL,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22800,22800,73.0,2012.0,AVIÃO,REGULAR,GOVERNADOR JOSÉ RICHA,VIRACOPOS,CRUZEIRO,REGULAR,NENHUM,0
2006,53191,PUGUL,EXPERIMENTAL,ULTRALEVE,MARCO AUGUSTO SCOBOZA GULIN,ASTRO AC-101,ULAC,PISTÃO,MONOMOTOR,420,420,2.0,2010.0,ULTRALEVE,EXPERIMENTAL,ESTÂNCIA MACHADO,ESTÂNCIA MACHADO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
2007,53192,PUXXX1,EXPERIMENTAL,ULTRALEVE,MAULE AIRCRAFT,ULTRALEVE,,PISTÃO,MONOMOTOR,0,0,0.0,,ULTRALEVE,EXPERIMENTAL,AEROCLUBE DE NOVA IGUAÇU,AEROCLUBE DE ARACAJU,INDETERMINADA,PRIVADA,DESTRUÍDA,1
2008,53193,PTXXX5,,AVIÃO,,,,,,0,0,,,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,DESTRUÍDA,1
2009,53194,PRFBJ,,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2006.0,AVIÃO,PARTICULAR,SENADOR NILO COELHO,WALFRIDO SAMITO DE ALMEIDA,DESCIDA,PRIVADA,SUBSTANCIAL,0
2010,53195,PPLLS,,HELICÓPTERO,EUROCOPTER FRANCE,EC 155 B1,EC55,TURBOEIXO,BIMOTOR,4920,4920,10.0,2010.0,HELICÓPTERO,PARTICULAR,HELIPARK,HELIPARK,CRUZEIRO,PRIVADA,DESTRUÍDA,5
2011,53196,PRFLM,,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1905,1905,6.0,1972.0,AVIÃO,INSTRUÇÃO,HERCÍLIO LUZ,HERCÍLIO LUZ,ARREMETIDA NO SOLO,INSTRUÇÃO,SUBSTANCIAL,0
2012,53197,PRCRL,,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1978.0,AVIÃO,INSTRUÇÃO,ESTADUAL ARTHUR SIQUEIRA,ARARAS,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
2013,53198,PPGBC,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1991.0,AVIÃO,INSTRUÇÃO,SÍLVIO NAME JÚNIOR,SÍLVIO NAME JÚNIOR,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
2014,53199,PRAPG,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1973.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,PRIVADA,DESTRUÍDA,1
2015,53200,PTKYM,,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1946.0,AVIÃO,INSTRUÇÃO,SÃO JOAQUIM DA BARRA,SÃO JOAQUIM DA BARRA,TÁXI,INSTRUÇÃO,SUBSTANCIAL,0
2016,53201,PTNUY,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711T,P28T,PISTÃO,MONOMOTOR,1247,1247,4.0,1980.0,AVIÃO,PARTICULAR,VERA CRUZ,CONDOMÍNIO CONDE MATARAZZO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
2017,53202,PTCKB,,AVIÃO,BEECH AIRCRAFT,36,BE36,PISTÃO,MONOMOTOR,1633,1633,6.0,1969.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
2018,53203,PRMHV,,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2008.0,AVIÃO,REGULAR,PRESIDENTE JUSCELINO KUBITSCHEK,SANTA MARIA,POUSO,REGULAR,LEVE,0
2019,53204,PTCVR,,AVIÃO,CESSNA AIRCRAFT,172S,C172,PISTÃO,MONOMOTOR,1157,1157,,,AVIÃO,INSTRUÇÃO,ANÁPOLIS,ANÁPOLIS,TÁXI,INSTRUÇÃO,LEVE,0
2020,53205,PRVTN,PARTICULAR,,,,,,SEM TRAÇÃO,0,0,0.0,,,PARTICULAR,SOROCABA,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,POUSO,PRIVADA,NENHUM,0
2021,53206,PRAVU,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,172.0,2011.0,AVIÃO,REGULAR,GUARARAPES - GILBERTO FREYRE,DEPUTADO LUÍS EDUARDO MAGALHÃES,DECOLAGEM,REGULAR,NENHUM,0
2022,53207,PRONC,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A318-122,A318,JATO,BIMOTOR,68000,68000,129.0,2008.0,AVIÃO,REGULAR,CONGONHAS,SANTOS DUMONT,SUBIDA,REGULAR,NENHUM,0
2023,53208,PTIZN,INSTRUÇÃO,AVIÃO,PIPER AIRCRAFT,PA-28-140,P28A,PISTÃO,MONOMOTOR,975,975,2.0,1973.0,AVIÃO,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,TÁXI,INSTRUÇÃO,NENHUM,0
2024,53209,PRAXB,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2011.0,AVIÃO,REGULAR,MARECHAL RONDON,VIRACOPOS,DECOLAGEM,REGULAR,SUBSTANCIAL,0
2025,53210,PRLDV,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2009.0,HELICÓPTERO,TÁXI AÉREO,EURICO DE AGUIAR SALLES,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
2026,53211,PTHYL,ADMINISTRAÇÃO DIRETA,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1993.0,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,BAURU,BAURU,PARTIDA DO MOTOR,POLICIAL,LEVE,0
2027,53212,PRABR,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1984.0,AVIÃO,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,AEROPORTO ESTADUAL DE JUNDIAÍ,TÁXI,INSTRUÇÃO,NENHUM,0
2028,53213,PTWQO,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,758,758,2.0,1978.0,AVIÃO,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,AEROPORTO ESTADUAL DE JUNDIAÍ,DECOLAGEM,INSTRUÇÃO,NENHUM,0
2029,53222,PRLIT,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1976.0,AVIÃO,PARTICULAR,SÃO FÉLIX DO XINGU,OURILÂNDIA DO NORTE,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0
2030,53223,PTUTT,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2005.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
2031,53224,PPHRH,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1964.0,AVIÃO,INSTRUÇÃO,CATANDUVA,CATANDUVA,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,SUBSTANCIAL,0
2032,53225,PPGAA,,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,3.0,1990.0,AVIÃO,INSTRUÇÃO,BACACHERI,BACACHERI,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
